"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Mar 2017 12:02:27.884,1 Mar 2017 12:08:09.683,341.799
2,1 Mar 2017 13:33:55.056,1 Mar 2017 13:43:55.965,600.908
3,1 Mar 2017 15:07:33.860,1 Mar 2017 15:19:16.555,702.695
4,1 Mar 2017 16:43:02.793,1 Mar 2017 16:54:35.884,693.091
5,1 Mar 2017 18:20:05.570,1 Mar 2017 18:30:07.228,601.659
6,1 Mar 2017 19:57:58.613,1 Mar 2017 20:06:14.759,496.146
7,1 Mar 2017 21:35:18.534,1 Mar 2017 21:43:31.552,493.018
8,1 Mar 2017 23:11:28.546,1 Mar 2017 23:21:25.045,596.499
9,2 Mar 2017 00:47:00.853,2 Mar 2017 00:58:31.314,690.461
10,2 Mar 2017 02:22:20.412,2 Mar 2017 02:27:57.455,337.044
11,2 Mar 2017 02:28:32.167,2 Mar 2017 02:34:04.868,332.701
12,2 Mar 2017 03:57:40.643,2 Mar 2017 04:07:48.852,608.209
13,2 Mar 2017 05:33:24.275,2 Mar 2017 05:39:23.232,358.957
14,2 Mar 2017 11:44:18.017,2 Mar 2017 11:49:04.372,286.355
15,2 Mar 2017 13:15:22.313,2 Mar 2017 13:25:00.432,578.119
16,2 Mar 2017 14:48:45.914,2 Mar 2017 15:00:22.249,696.335
17,2 Mar 2017 16:24:01.310,2 Mar 2017 16:35:41.044,699.733
18,2 Mar 2017 18:00:53.508,2 Mar 2017 18:11:09.853,616.345
19,2 Mar 2017 19:38:44.237,2 Mar 2017 19:47:10.643,506.407
20,2 Mar 2017 21:16:12.729,2 Mar 2017 21:24:18.047,485.318
21,2 Mar 2017 22:52:30.403,2 Mar 2017 23:02:11.761,581.357
22,3 Mar 2017 00:28:05.763,3 Mar 2017 00:39:27.683,681.920
23,3 Mar 2017 02:03:26.117,3 Mar 2017 02:08:44.766,318.649
24,3 Mar 2017 02:10:00.182,3 Mar 2017 02:15:14.460,314.277
25,3 Mar 2017 03:38:45.511,3 Mar 2017 03:49:13.312,627.801
26,3 Mar 2017 05:14:22.924,3 Mar 2017 05:21:07.257,404.333
27,3 Mar 2017 11:26:15.575,3 Mar 2017 11:29:53.173,217.597
28,3 Mar 2017 12:56:51.734,3 Mar 2017 13:06:04.503,552.769
29,3 Mar 2017 14:29:59.833,3 Mar 2017 14:41:27.899,688.066
30,3 Mar 2017 16:05:01.473,3 Mar 2017 16:16:46.356,704.883
31,3 Mar 2017 17:41:42.499,3 Mar 2017 17:52:12.985,630.486
32,3 Mar 2017 19:19:29.456,3 Mar 2017 19:28:07.712,518.257
33,3 Mar 2017 20:57:05.595,3 Mar 2017 21:05:05.438,479.843
34,3 Mar 2017 22:33:31.585,3 Mar 2017 22:42:57.769,566.184
35,4 Mar 2017 00:09:10.447,4 Mar 2017 00:20:22.517,672.070
36,4 Mar 2017 01:44:31.805,4 Mar 2017 01:49:45.952,314.147
37,4 Mar 2017 01:51:12.483,4 Mar 2017 01:56:22.246,309.762
38,4 Mar 2017 03:19:50.616,4 Mar 2017 03:30:35.735,645.119
39,4 Mar 2017 04:55:23.363,4 Mar 2017 05:02:47.855,444.493
40,4 Mar 2017 11:08:30.851,4 Mar 2017 11:10:25.742,114.891
41,4 Mar 2017 12:38:23.409,4 Mar 2017 12:47:08.078,524.669
42,4 Mar 2017 14:11:15.641,4 Mar 2017 14:22:33.487,677.846
43,4 Mar 2017 15:46:03.324,4 Mar 2017 15:51:37.617,334.293
44,4 Mar 2017 15:52:13.127,4 Mar 2017 15:57:51.802,338.675
45,4 Mar 2017 17:22:32.666,4 Mar 2017 17:33:16.547,643.882
46,4 Mar 2017 19:00:14.487,4 Mar 2017 19:09:05.884,531.396
47,4 Mar 2017 20:37:57.105,4 Mar 2017 20:45:53.902,476.797
48,4 Mar 2017 22:14:32.002,4 Mar 2017 22:23:43.241,551.239
49,4 Mar 2017 23:50:14.852,5 Mar 2017 00:01:15.876,661.024
50,5 Mar 2017 01:25:37.453,5 Mar 2017 01:30:54.254,316.801
51,5 Mar 2017 01:32:15.832,5 Mar 2017 01:37:28.249,312.416
52,5 Mar 2017 03:00:55.906,5 Mar 2017 03:11:56.174,660.268
53,5 Mar 2017 04:36:25.049,5 Mar 2017 04:44:25.522,480.473
54,5 Mar 2017 12:19:57.450,5 Mar 2017 12:28:11.021,493.571
