                                                                                        09 Jun 2010 17:33:54
Educational Use Only
Satellite-Base-Sensor-Sensor1-Antenna-Antenna2-To-Facility-Kiruna-Receiver-Receiver1:  Access Summary Report


Antenna2-To-Receiver1
---------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     6 May 2017 10:13:40.007     6 May 2017 10:24:36.845           656.839
                       2     6 May 2017 11:51:15.174     6 May 2017 12:00:20.485           545.311
                       3     6 May 2017 13:29:03.746     6 May 2017 13:36:57.747           474.001
                       4     6 May 2017 15:05:48.812     6 May 2017 15:14:42.306           533.493
                       5     6 May 2017 16:41:36.280     6 May 2017 16:52:22.901           646.621
                       6     6 May 2017 18:17:00.135     6 May 2017 18:22:31.868           331.733
                       7     6 May 2017 18:23:21.823     6 May 2017 18:28:49.168           327.345
                       8     6 May 2017 19:52:18.028     6 May 2017 20:03:33.139           675.111
                       9     6 May 2017 21:27:43.478     6 May 2017 21:36:21.293           517.815
                      10     6 May 2017 23:04:38.212     6 May 2017 23:05:57.898            79.687
                      11     7 May 2017 05:11:53.471     7 May 2017 05:19:30.846           457.375
                      12     7 May 2017 06:44:11.282     7 May 2017 06:55:01.704           650.422
                      13     7 May 2017 08:18:29.239     7 May 2017 08:23:39.104           309.865
                      14     7 May 2017 08:25:05.688     7 May 2017 08:30:19.944           314.256
                      15     7 May 2017 09:54:32.932     7 May 2017 10:05:41.221           668.289
                      16     7 May 2017 11:32:00.495     7 May 2017 11:41:20.713           560.218
                      17     7 May 2017 13:09:52.570     7 May 2017 13:17:48.861           476.292
                      18     7 May 2017 14:46:47.371     7 May 2017 14:55:27.246           519.874
                      19     7 May 2017 16:22:40.048     7 May 2017 16:33:13.370           633.322
                      20     7 May 2017 17:58:05.681     7 May 2017 18:09:51.475           705.795
                      21     7 May 2017 19:33:23.652     7 May 2017 19:44:49.460           685.808
                      22     7 May 2017 21:08:46.985     7 May 2017 21:17:53.563           546.578
                      23     7 May 2017 22:45:01.877     7 May 2017 22:48:22.509           200.632
                      24     8 May 2017 04:53:32.990     8 May 2017 05:00:31.915           418.926
                      25     8 May 2017 06:25:33.080     8 May 2017 06:36:06.960           633.880
                      26     8 May 2017 07:59:36.488     8 May 2017 08:04:48.297           311.809
                      27     8 May 2017 08:06:09.500     8 May 2017 08:11:25.685           316.185
                      28     8 May 2017 09:35:27.313     8 May 2017 09:46:45.882           678.569
                      29     8 May 2017 11:12:46.296     8 May 2017 11:22:21.733           575.437
                      30     8 May 2017 12:50:40.263     8 May 2017 12:58:41.328           481.065
                      31     8 May 2017 14:27:44.862     8 May 2017 14:36:12.306           507.444
                      32     8 May 2017 16:03:43.397     8 May 2017 16:14:02.625           619.228
                      33     8 May 2017 17:39:11.109     8 May 2017 17:50:52.079           700.970
                      34     8 May 2017 19:14:29.360     8 May 2017 19:26:03.887           694.527
                      35     8 May 2017 20:49:51.021     8 May 2017 20:59:23.556           572.535
                      36     8 May 2017 22:25:48.900     8 May 2017 22:30:22.289           273.389
                      37     9 May 2017 04:35:15.696     9 May 2017 04:41:31.456           375.761
                      38     9 May 2017 06:06:56.887     9 May 2017 06:17:12.004           615.117
                      39     9 May 2017 07:40:45.528     9 May 2017 07:46:08.796           323.268
                      40     9 May 2017 07:47:03.835     9 May 2017 07:52:31.457           327.622
                      41     9 May 2017 09:16:23.212     9 May 2017 09:27:50.791           687.579
                      42     9 May 2017 10:53:32.759     9 May 2017 11:03:23.455           590.696
                      43     9 May 2017 12:31:26.992     9 May 2017 12:39:35.156           488.164
                      44     9 May 2017 14:08:41.185     9 May 2017 14:16:57.710           496.526
                      45     9 May 2017 15:44:46.263     9 May 2017 15:54:50.780           604.517
                      46     9 May 2017 17:20:16.388     9 May 2017 17:31:51.030           694.642
                      47     9 May 2017 18:55:35.108     9 May 2017 19:07:16.447           701.339
                      48     9 May 2017 20:30:55.470     9 May 2017 20:40:51.366           595.897
                      49     9 May 2017 22:06:42.791     9 May 2017 22:12:13.682           330.891
                      50    10 May 2017 04:17:02.277    10 May 2017 04:22:28.725           326.449
                      51    10 May 2017 05:48:22.750    10 May 2017 05:58:16.777           594.027
                      52    10 May 2017 07:21:56.397    10 May 2017 07:33:37.237           700.840

Global Statistics
-----------------
Min Duration          10     6 May 2017 23:04:38.212     6 May 2017 23:05:57.898            79.687
Max Duration          20     7 May 2017 17:58:05.681     7 May 2017 18:09:51.475           705.795
Mean Duration                                                                              514.500
Total Duration                                                                           26753.980
