"Time (UTCG)","Power (W)","Solar Intensity"
5 Mar 2017 10:00:00.000,136.370,1.000000
5 Mar 2017 10:02:00.000,138.737,1.000000
5 Mar 2017 10:04:00.000,140.489,1.000000
5 Mar 2017 10:06:00.000,142.222,1.000000
5 Mar 2017 10:08:00.000,144.048,1.000000
5 Mar 2017 10:10:00.000,146.453,1.000000
5 Mar 2017 10:12:00.000,148.447,1.000000
5 Mar 2017 10:14:00.000,149.882,1.000000
5 Mar 2017 10:16:00.000,150.627,1.000000
5 Mar 2017 10:18:00.000,150.795,1.000000
5 Mar 2017 10:20:00.000,150.273,1.000000
5 Mar 2017 10:22:00.000,149.248,1.000000
5 Mar 2017 10:24:00.000,147.683,1.000000
5 Mar 2017 10:26:00.000,145.744,1.000000
5 Mar 2017 10:28:00.000,143.582,1.000000
5 Mar 2017 10:30:00.000,141.831,1.000000
5 Mar 2017 10:32:00.000,140.041,1.000000
5 Mar 2017 10:34:00.000,138.234,1.000000
5 Mar 2017 10:36:00.000,136.780,1.000000
5 Mar 2017 10:38:00.000,135.755,1.000000
5 Mar 2017 10:40:00.000,134.860,1.000000
5 Mar 2017 10:42:00.000,134.320,1.000000
5 Mar 2017 10:44:00.000,134.189,1.000000
5 Mar 2017 10:46:00.000,135.270,1.000000
5 Mar 2017 10:48:00.000,137.320,1.000000
5 Mar 2017 10:50:00.000,139.799,1.000000
5 Mar 2017 10:52:00.000,141.160,1.000000
5 Mar 2017 10:54:00.000,143.061,1.000000
5 Mar 2017 10:56:00.000,144.831,1.000000
5 Mar 2017 10:58:00.000,147.235,1.000000
5 Mar 2017 11:00:00.000,149.118,1.000000
5 Mar 2017 11:02:00.000,0.000,0.000000
5 Mar 2017 11:04:00.000,0.000,0.000000
5 Mar 2017 11:06:00.000,0.000,0.000000
5 Mar 2017 11:08:00.000,0.000,0.000000
5 Mar 2017 11:10:00.000,0.000,0.000000
5 Mar 2017 11:12:00.000,0.000,0.000000
5 Mar 2017 11:14:00.000,0.000,0.000000
5 Mar 2017 11:16:00.000,0.000,0.000000
5 Mar 2017 11:18:00.000,0.000,0.000000
5 Mar 2017 11:20:00.000,0.000,0.000000
5 Mar 2017 11:22:00.000,0.000,0.000000
5 Mar 2017 11:24:00.000,0.000,0.000000
5 Mar 2017 11:26:00.000,0.000,0.000000
5 Mar 2017 11:28:00.000,134.897,1.000000
5 Mar 2017 11:30:00.000,134.431,1.000000
5 Mar 2017 11:32:00.000,134.599,1.000000
5 Mar 2017 11:34:00.000,136.034,1.000000
5 Mar 2017 11:36:00.000,138.140,1.000000
5 Mar 2017 11:38:00.000,140.414,1.000000
5 Mar 2017 11:40:00.000,141.905,1.000000
5 Mar 2017 11:42:00.000,143.732,1.000000
5 Mar 2017 11:44:00.000,145.856,1.000000
5 Mar 2017 11:46:00.000,147.962,1.000000
